,Site,Project,Longitude,Latitude,Elevation,Year
253,69Smoky2010,Smoky,-119.84775,54.2848,1126,2010
254,103Smoky2010,Smoky,-119.8766667,54.64088333,908,2010
255,59Smoky2010,Smoky,-119.7488167,54.53728333,1270,2010
256,60Smoky2010,Smoky,-119.825,54.62725,1256,2010
257,107Smoky2010,Smoky,-119.7908167,54.70345,1126,2010
258,119Smoky2010,Smoky,-119.8857167,54.82476667,961,2010
259,106Smoky2010,Smoky,-119.9319,54.89443333,940,2010
260,91Smoky2010,Smoky,-119.6838667,54.69848333,1012,2010
261,121Smoky2010,Smoky,-119.7723833,54.79691667,910,2010
262,90Smoky2010,Smoky,-119.8199833,54.8621,900,2010
263,122Smoky2010,Smoky,-119.4456167,54.65811667,1016,2010
264,123Smoky2010,Smoky,-119.4013667,54.6573,958,2010
265,62Smoky2010,Smoky,-119.62735,54.89488333,0,2010
266,102Smoky2010,Smoky,-119.9491333,55.27333333,849,2010
267,61Smoky2010,Smoky,-119.4153833,54.79206667,0,2010
268,71Smoky2010,Smoky,-118.77815,54.15931667,1270,2010
269,72Smoky2010,Smoky,-118.7748,54.15811667,1290,2010
270,124Smoky2010,Smoky,-119.1264,54.52745,1166,2010
271,125Smoky2010,Smoky,-119.2095333,54.64243333,1162,2010
272,70Smoky2010,Smoky,-118.7334833,54.26611667,1219,2010
273,118Smoky2010,Smoky,-119.42115,55.03441667,696,2010
274,73Smoky2010,Smoky,-118.6829,54.30316667,1066,2010
275,104Smoky2010,Smoky,-119.2874667,54.92641667,740,2010
276,120Smoky2010,Smoky,-119.2280833,54.87983333,852,2010
277,126Smoky2010,Smoky,-119.75165,55.45446667,815,2010
278,101Smoky2010,Smoky,-118.921,54.65046667,1020,2010
279,128Smoky2010,Smoky,-118.9677833,54.73908333,932,2010
280,127Smoky2010,Smoky,-118.9532167,54.73625,925,2010
281,92Smoky2010,Smoky,-118.9527667,54.7361,921,2010
282,93Smoky2010,Smoky,-119.65205,55.51708333,931,2010
283,98Smoky2010,Smoky,-118.609,54.50055,943,2010
284,100Smoky2010,Smoky,-118.6604,54.5595,936,2010
285,76Smoky2010,Smoky,-118.3458667,54.34798333,1265,2010
286,99Smoky2010,Smoky,-119.6669333,55.71695,794,2010
287,105Smoky2010,Smoky,-118.9773333,55.0659,671,2010
288,89Smoky2010,Smoky,-118.7721667,54.92883333,684,2010
289,116Smoky2010,Smoky,-118.4978667,54.6711,816,2010
290,97Smoky2010,Smoky,-119.4698333,55.72195,850,2010
291,111Smoky2010,Smoky,-118.6416333,54.90458333,670,2010
292,114Smoky2010,Smoky,-118.7451,55.04493333,657,2010
293,108Smoky2010,Smoky,-119.547,55.88123333,824,2010
294,79Smoky2010,Smoky,-118.3533167,54.69881667,752,2010
295,34Peace2010,Peace,-119.9690167,56.3368,745,2010
296,85Smoky2010,Smoky,-118.08435,54.46445,982,2010
297,80Smoky2010,Smoky,-118.2246833,54.60573333,837,2010
298,74Smoky2010,Smoky,-118.1712167,54.59548333,865,2010
299,95Smoky2010,Smoky,-118.4877,54.92436667,667,2010
300,94Smoky2010,Smoky,-119.2512667,55.69475,973,2010
301,86Smoky2010,Smoky,-117.9767,54.42711667,1015,2010
302,88Smoky2010,Smoky,-117.97535,54.4268,1015,2010
303,110Smoky2010,Smoky,-118.5308833,55.025,670,2010
304,81Smoky2010,Smoky,-118.2855667,54.79985,781,2010
305,96Smoky2010,Smoky,-118.24515,54.83386667,748,2010
306,87Smoky2010,Smoky,-117.8356333,54.44101667,946,2010
307,115Smoky2010,Smoky,-118.5236667,55.15483333,643,2010
308,113Smoky2010,Smoky,-118.7573,55.46566667,750,2010
309,32Peace2010,Peace,-119.8985,56.6223,911,2010
310,109Smoky2010,Smoky,-119.1586,55.88843333,693,2010
311,75Smoky2010,Smoky,-117.8369167,54.57966667,859,2010
312,112Smoky2010,Smoky,-118.2080667,55.05666667,637,2010
313,45Peace2010,Peace,-119.8631,56.78323333,910,2010
314,68Smoky2010,Smoky,-117.5635833,54.50411667,851,2010
315,66Smoky2010,Smoky,-117.626,54.56696667,878,2010
316,67Smoky2010,Smoky,-117.5698667,54.61335,909,2010
317,117Smoky2010,Smoky,-117.6834167,54.73483333,730,2010
318,83Smoky2010,Smoky,-118.4668833,55.55446667,717,2010
319,78Smoky2010,Smoky,-119.1632167,56.28283333,684,2010
320,77Smoky2010,Smoky,-118.9667833,56.1189,689,2010
321,65Smoky2010,Smoky,-117.6848,54.87628333,744,2010
322,64Smoky2010,Smoky,-117.6094833,54.87013333,765,2010
323,44Peace2010,Peace,-119.8454167,57.1377,771,2010
324,58Smoky2010,Smoky,-117.06415,54.50621667,764,2010
325,82Smoky2010,Smoky,-117.79815,55.30055,747,2010
326,30Peace2010,Peace,-118.6333167,56.17036667,662,2010
327,33Peace2010,Peace,-119.0270167,56.63836667,980,2010
328,50Peace2010,Peace,-119.1163833,56.75591667,886,2010
329,63Smoky2010,Smoky,-117.5325167,55.20315,790,2010
330,84Smoky2010,Smoky,-117.8486,55.63778333,586,2010
331,46Peace2010,Peace,-119.4843833,57.3139,679,2010
332,31Peace2010,Peace,-118.4602,56.44885,906,2010
333,41Peace2010,Peace,-118.4534,56.6038,755,2010
334,47Peace2010,Peace,-118.9773333,57.16265,888,2010
335,40Peace2010,Peace,-119.3211333,57.63003333,833,2010
336,42Peace2010,Peace,-118.2761,56.70746667,875,2010
337,49Peace2010,Peace,-119.1247,57.65638333,702,2010
338,48Peace2010,Peace,-118.79505,57.33816667,972,2010
339,43Peace2010,Peace,-118.5331,57.08796667,824,2010
340,51Peace2010,Peace,-118.1108833,56.6828,836,2010
341,37Peace2010,Peace,-116.6622167,55.99355,741,2010
342,36Peace2010,Peace,-116.6211833,56.07263333,694,2010
343,35Peace2010,Peace,-117.22255,57.07515,422,2010
344,38Peace2010,Peace,-116.11375,56.0212,681,2010
345,39Peace2010,Peace,-116.26595,56.81163333,732,2010
346,63Smoky2011,Smoky,-119.6905333,54.71488333,994,2011
347,59Smoky2011,Smoky,-119.8762333,54.9034,875,2011
348,52Smoky2011,Smoky,-119.7354,54.80516667,850,2011
349,54Smoky2011,Smoky,-119.6607833,54.75305,838,2011
350,53Smoky2011,Smoky,-119.63375,54.7734,828,2011
351,62Smoky2011,Smoky,-119.3964,54.65665,967,2011
352,55Smoky2011,Smoky,-119.6273167,54.89426667,757,2011
353,58Smoky2011,Smoky,-119.1538333,54.46858333,1062,2011
354,67Smoky2011,Smoky,-119.0449,54.42205,1050,2011
355,56Smoky2011,Smoky,-119.4048167,54.79218333,936,2011
356,42Smoky2011,Smoky,-118.6902333,54.25738333,1020,2011
357,57Smoky2011,Smoky,-119.0372,54.62703333,983,2011
358,60Smoky2011,Smoky,-119.30975,54.92801667,739,2011
359,32Smoky2011,Smoky,-119.7654833,55.45408333,817,2011
360,64Smoky2011,Smoky,-119.04665,54.75903333,877,2011
361,65Smoky2011,Smoky,-118.8531833,54.58753333,960,2011
362,43Smoky2011,Smoky,-118.71435,54.46301667,1024,2011
363,66Smoky2011,Smoky,-118.9680667,54.72651667,987,2011
364,39Smoky2011,Smoky,-118.6074333,54.49533333,951,2011
365,41Smoky2011,Smoky,-118.6605833,54.55961667,931,2011
366,38Smoky2011,Smoky,-118.3567,54.32381667,1296,2011
367,61Smoky2011,Smoky,-118.9643667,55.06496667,667,2011
368,50Smoky2011,Smoky,-118.5151,54.7182,950,2011
369,74Smoky2011,Smoky,-118.8677833,55.07666667,700,2011
370,73Smoky2011,Smoky,-118.7620167,55.07365,690,2011
371,71Smoky2011,Smoky,-118.7512833,55.08956667,656,2011
372,49Smoky2011,Smoky,-118.3535667,54.6989,950,2011
373,37Peace2011,Peace,-119.9165167,56.32451667,742,2011
374,30Smoky2011,Smoky,-118.1864333,54.60596667,886,2011
375,36Smoky2011,Smoky,-117.9189,54.36526667,1000,2011
376,68Smoky2011,Smoky,-118.4802,54.94176667,656,2011
377,40Smoky2011,Smoky,-119.2420167,55.70433333,965,2011
378,72Smoky2011,Smoky,-118.52855,55.02555,660,2011
379,31Smoky2011,Smoky,-118.2463333,54.84091667,715,2011
380,47Smoky2011,Smoky,-117.9582167,54.55938333,961,2011
381,39Peace2011,Peace,-119.8308167,56.44361667,689,2011
382,35Smoky2011,Smoky,-117.7665833,54.40658333,1000,2011
383,38Peace2011,Peace,-119.6973833,56.49681667,718,2011
384,37Smoky2011,Smoky,-118.20665,55.05725,639,2011
385,44Smoky2011,Smoky,-117.62775,54.5664,900,2011
386,45Smoky2011,Smoky,-117.6828167,54.73471667,950,2011
387,48Smoky2011,Smoky,-117.4489167,54.55266667,882,2011
388,34Smoky2011,Smoky,-119.1634167,56.2829,759,2011
389,33Smoky2011,Smoky,-118.9677,56.12268333,694,2011
390,70Smoky2011,Smoky,-117.6203833,54.79993333,697,2011
391,69Smoky2011,Smoky,-117.6112167,54.8699,755,2011
392,46Smoky2011,Smoky,-117.0642167,54.50618333,762,2011
393,36Peace2011,Peace,-118.5874667,56.15678333,0,2011
394,35Peace2011,Peace,-119.0287,56.66818333,1032,2011
395,51Smoky2011,Smoky,-117.5326,55.20378333,800,2011
396,34Peace2011,Peace,-118.7731,56.66556667,869,2011
397,32Peace2011,Peace,-118.4500167,56.60518333,756,2011
398,33Peace2011,Peace,-118.2670833,56.69908333,869,2011
399,30Peace2011,Peace,-118.9236667,57.39213333,864,2011
400,45Peace2011,Peace,-119.7882,58.5982,383,2011
401,31Peace2011,Peace,-118.4263833,57.40165,907,2011
402,40Peace2011,Peace,-116.8179,56.16113333,64,2011
403,41Peace2011,Peace,-116.41055,56.0253,749,2011
404,42Peace2011,Peace,-116.2722667,56.05316667,703,2011
405,43Peace2011,Peace,-116.4462333,56.88151667,702,2011
406,44Peace2011,Peace,-115.9705167,56.90943333,758,2011
407,47Woodlands2012,Woodlands,-117.5038,54.1196,1138,2012
408,36Woodlands2012,Woodlands,-117.2889833,54.0788,1177,2012
409,38Woodlands2012,Woodlands,-117.26865,54.07025,1159,2012
410,32Woodlands2012,Woodlands,-117.3355167,54.32145,982,2012
411,43Woodlands2012,Woodlands,-117.1337667,54.12553333,1113,2012
412,34Woodlands2012,Woodlands,-117.3159333,54.35826667,936,2012
413,33Woodlands2012,Woodlands,-117.2836833,54.34295,884,2012
414,41Woodlands2012,Woodlands,-116.97595,54.06116667,1111,2012
415,31Woodlands2012,Woodlands,-117.1655333,54.3188,987,2012
